Price,Size,Side
27892.01000000,0.00174000,sell
27892.00000000,0.03681000,sell
27892,0.00003454,sell
27891.88000000,0.00039000,sell
27891.82000000,0.01680000,sell
27891.8,0.0000988,sell
27891.73000000,0.00109000,sell
27891.71000000,0.00760000,sell
27891.70000000,0.00036000,sell
27891.66000000,0.00085000,sell
27891.6,0.00014015,sell
27891.57000000,0.00098000,sell
27891.56000000,0.23142000,sell
27891.5,0.00088881,sell
27891.46000000,0.00059000,sell
27891.41000000,0.00054000,sell
27891.4,0.000052,sell
27891.38000000,0.00079000,sell
27891.35000000,0.00132000,sell
27891.30000000,0.00076000,sell
27891.3,0.0001634,sell
27891.25000000,0.00223000,sell
27891.23000000,0.00043000,sell
27891.15000000,0.00043000,sell
27891.14000000,0.00061000,sell
27891.11000000,0.01524000,sell
27891.1,0.00200354,sell
27891.03000000,0.00067000,sell
27891.00000000,0.50157000,sell
27891,0.00244633,sell
27890.97000000,0.00039000,sell
27890.96000000,0.00388000,sell
27890.92000000,0.00399000,sell
27890.91000000,0.00066000,sell
27890.90000000,0.00039000,sell
27890.9,0.00001263,sell
27890.89000000,0.00046000,sell
27890.79000000,0.00874000,sell
27890.74000000,0.43548000,sell
27890.73000000,0.00048000,sell
27890.6,0.01079929,sell
27890.5,0.00001001,sell
27890.43000000,0.00045000,sell
27890.4,0.0001115,sell
27890.33000000,0.00037000,sell
27890.32000000,0.00042000,sell
27890.30000000,0.00071000,sell
27890.3,0.01836692,sell
27890.29000000,2.15671000,sell
27890.28000000,0.00071000,sell
27890.25000000,0.01796000,sell
27890.14000000,0.00123000,sell
27890.03000000,0.00373000,sell
27890.02000000,0.00264000,sell
27890.01000000,0.01786000,sell
27890.00000000,9.58920000,sell
27890,0.00261198,sell
27889.84000000,0.00936000,sell
27889.83000000,0.00094000,sell
27889.8,0.00020544,sell
27889.75000000,0.00096000,sell
27889.71000000,0.00039000,sell
27889.7,0.00067938,sell
27889.6,0.00022987,sell
27889.59000000,0.00090000,sell
27889.54000000,0.00042000,sell
27889.51000000,0.00095000,sell
27889.5,0.0009531,sell
27889.44000000,0.00309000,sell
27889.4,0.00001014,sell
27889.36000000,0.00115000,sell
27889.32000000,0.00043000,sell
27889.30000000,0.00551000,sell
27889.24000000,0.00041000,sell
27889.20000000,0.01008000,sell
27889.12000000,0.00041000,sell
27889.00000000,0.00077000,sell
27888.91000000,0.05498000,sell
27888.9,0.00058548,sell
27888.88000000,0.00230000,sell
27888.87000000,0.00038000,sell
27888.86000000,0.01729000,sell
27888.84000000,0.00266000,sell
27888.82000000,0.03140000,sell
27888.8,0.00229668,sell
27888.70000000,0.00038000,sell
27888.7,0.00167851,sell
27888.47000000,0.00479000,sell
27888.44000000,0.00115000,sell
27888.40000000,0.00291000,sell
27888.4,0.01601111,sell
27888.36000000,0.00364000,sell
27888.3,0.0000356,sell
27888.20000000,0.00041000,sell
27888.2,0.0042117,sell
27888.06000000,0.07329000,sell
27888.05000000,0.00718000,sell
27888.02000000,0.00037000,sell
27888.00000000,2.26735000,sell
27888,3.0750405,sell
27887.93000000,0.00045000,sell
27887.92000000,0.18000000,sell
27887.90000000,0.18696000,sell
27887.9,0.00012203,sell
27887.87000000,0.00181000,sell
27887.86000000,0.00368000,sell
27887.78000000,0.00042000,sell
27887.73000000,0.00066000,sell
27887.7,0.0001793,sell
27887.62000000,0.00055000,sell
27887.61000000,0.00038000,sell
27887.50000000,0.00106000,sell
27887.5,0.00176692,sell
27887.41000000,0.00062000,sell
27887.4,0.00004892,sell
27887.39000000,0.00078000,sell
27887.33000000,0.00044000,sell
27887.32000000,0.09275000,sell
27887.28000000,0.00048000,sell
27887.22000000,0.00039000,sell
27887.21000000,0.00183000,sell
27887.1,0.00007854,sell
27887.00000000,0.00121000,sell
27887,0.00003391,sell
27886.99000000,0.00218000,sell
27886.9,0.00001865,sell
27886.86000000,0.00072000,sell
27886.82000000,0.00657000,sell
27886.7,0.00072127,sell
27886.66000000,0.00100000,sell
27886.62000000,0.00212000,sell
27886.61000000,0.00129000,sell
27886.6,0.00006217,sell
27886.54000000,0.00562000,sell
27886.5,0.00027027,sell
27886.48000000,0.01603000,sell
27886.44000000,0.00037000,sell
27886.4,0.01497449,sell
27886.36000000,0.02953000,sell
27886.3,0.00007948,sell
27886.20000000,0.04231000,sell
27886.10000000,0.00058000,sell
27886.1,0.00001001,sell
27886,0.00069562,sell
27885.99000000,0.00373000,sell
27885.9,0.00014756,sell
27885.80000000,0.00408000,sell
27885.8,0.00236863,sell
27885.77000000,0.01038000,sell
27885.71000000,0.00048000,sell
27885.7,0.00826521,sell
27885.64000000,0.00056000,sell
27885.59000000,0.00040000,sell
27885.58000000,0.00040000,sell
27885.56000000,0.00195000,sell
27885.49000000,0.00062000,sell
27885.48000000,0.00038000,sell
27885.47000000,0.00203000,sell
27885.41000000,0.00039000,sell
27885.4,0.00001053,sell
27885.35000000,0.00037000,sell
27885.3,0.00001277,sell
27885.29000000,0.00046000,sell
27885.22000000,0.00123000,sell
27885.2,0.0000188,sell
27885.17000000,0.00040000,sell
27885.1,0.00003011,sell
27885.00000000,0.00136000,sell
27885,0.01524062,sell
27884.99000000,0.00203000,sell
27884.91000000,0.00040000,sell
27884.90000000,0.03611000,sell
27884.89000000,0.00126000,sell
27884.82000000,0.00042000,sell
27884.70000000,0.00068000,sell
27884.7,0.00001183,sell
27884.65000000,0.00054000,sell
27884.61000000,0.00038000,sell
27884.60000000,0.00038000,sell
27884.6,0.00002711,sell
27884.56000000,0.00214000,sell
27884.43000000,0.01134000,sell
27884.42000000,0.00146000,sell
27884.4,0.00131727,sell
27884.36000000,0.00045000,sell
27884.34000000,0.00146000,sell
27884.3,0.00014347,sell
27884.2,0.00040144,sell
27884.1,0.00004783,sell
27884.00000000,0.36497000,sell
27884,1.70437,sell
27883.99000000,0.00050000,sell
27883.96000000,0.00038000,sell
27883.95000000,0.00038000,sell
27883.89000000,0.00042000,sell
27883.8,3.19173676,sell
27883.77000000,0.00039000,sell
27883.7,0.00033772,sell
27883.66000000,0.00089000,sell
27883.61000000,0.00037000,sell
27883.6,0.00084641,sell
27883.58000000,0.00370000,sell
27883.52000000,0.08425000,sell
27883.51000000,0.00080000,sell
27883.50000000,0.00197000,sell
27883.5,0.0003681,sell
27883.43000000,0.00039000,sell
27883.42000000,0.00037000,sell
27883.4,0.00010304,sell
27883.39000000,0.00144000,sell
27883.33000000,0.00361000,sell
27883.32000000,0.08990000,sell
27883.3,0.00934627,sell
27883.2,0.00475774,sell
27883.1,0.00015052,sell
27883.03000000,0.00058000,sell
27883,0.00009436,sell
27882.97000000,0.00038000,sell
27882.95000000,0.00070000,sell
27882.90000000,0.00042000,sell
27882.9,0.00035197,sell
27882.82000000,0.00239000,sell
27882.78000000,0.00048000,sell
27882.77000000,0.00218000,sell
27882.76000000,0.00547000,sell
27882.75000000,0.00158000,sell
27882.70000000,0.00225000,sell
27882.7,0.00005268,sell
27882.69000000,0.00042000,sell
27882.6,0.00240095,sell
27882.58000000,0.00039000,sell
27882.56000000,0.00077000,sell
27882.50000000,0.00083000,sell
27882.5,0.0006918,sell
27882.35000000,0.00241000,sell
27882.34000000,0.00041000,sell
27882.3,0.00110898,sell
27882.28000000,0.00079000,sell
27882.25000000,0.00036000,sell
27882.2,0.00025501,sell
27882.12000000,0.00037000,sell
27882.10000000,0.00122000,sell
27882.05000000,0.00037000,sell
27882.00000000,0.00115000,sell
27881.99000000,0.00060000,sell
27881.97000000,0.00053000,sell
27881.90000000,0.00054000,sell
27881.9,0.00005234,sell
27881.88000000,0.00567000,sell
27881.81000000,0.00083000,sell
27881.8,0.0002392,sell
27881.71000000,0.47683000,sell
27881.7,0.00056519,sell
27881.65000000,0.00439000,sell
27881.6,0.00006633,sell
27881.52000000,0.00078000,sell
27881.44000000,0.00041000,sell
27881.4,0.00754801,sell
27881.30000000,0.00100000,sell
27881.3,0.013,sell
27881.18000000,0.00066000,sell
27881.1,0.00409918,sell
27881.07000000,0.00323000,sell
27881.04000000,0.00128000,sell
27881.02000000,0.00119000,sell
27881.00000000,0.01436000,sell
27881,0.0031525,sell
27880.98000000,0.00043000,sell
27880.96000000,0.00038000,sell
27880.95000000,0.00038000,sell
27880.9,0.00058038,sell
27880.87000000,0.00074000,sell
27880.8,0.01119294,sell
27880.79000000,0.00040000,sell
27880.75000000,0.00044000,sell
27880.7,0.00005521,sell
27880.50000000,0.00533000,sell
27880.5,0.00012038,sell
27880.49000000,0.01663000,sell
27880.48000000,0.00064000,sell
27880.4,0.00002999,sell
27880.17000000,0.00048000,sell
27880.11000000,0.00072000,sell
27880.1,0.00017934,sell
27880.09000000,0.00037000,sell
27880.05000000,0.00121000,sell
27880.00000000,1.19869000,sell
27880,0.01194955,sell
27879.96000000,0.00094000,sell
27879.92000000,0.00042000,sell
27879.9,0.00012735,sell
27879.89000000,0.00039000,sell
27879.81000000,0.00218000,sell
27879.80000000,0.00037000,sell
27879.73000000,0.00128000,sell
27879.72000000,0.00080000,sell
27879.64000000,0.00125000,sell
27879.54000000,0.18696000,sell
27879.5,0.00017288,sell
27879.45000000,0.00282000,sell
27879.4,0.00025438,sell
27879.38000000,0.00055000,sell
27879.35000000,0.00062000,sell
27879.33000000,0.01710000,sell
27879.32000000,0.00037000,sell
27879.31000000,0.00074000,sell
27879.3,0.00002848,sell
27879.28000000,0.00127000,sell
27879.26000000,0.00037000,sell
27879.25000000,0.00137000,sell
27879.2,0.02,sell
27879.14000000,0.00496000,sell
27879.00000000,0.01000000,sell
27879,0.0026275,sell
27878.99000000,0.00409000,sell
27878.95000000,0.00060000,sell
27878.9,0.00112027,sell
27878.80000000,2.00000000,sell
27878.8,0.00048657,sell
27878.79000000,0.00050000,sell
27878.78000000,0.00304000,sell
27878.71000000,0.00200000,sell
27878.7,0.01594358,sell
27878.69000000,0.00042000,sell
27878.65000000,0.00114000,sell
27878.64000000,0.00745000,sell
27878.6,0.00067855,sell
27878.58000000,0.00302000,sell
27878.55000000,0.00228000,sell
27878.50000000,0.00085000,sell
27878.48000000,0.00075000,sell
27878.3,0.00408795,sell
27878.1,0.00003985,sell
27878.01000000,0.02194000,sell
27878.00000000,0.00049000,sell
27877.99000000,0.01134000,sell
27877.95000000,0.00041000,sell
27877.93000000,0.00197000,sell
27877.89000000,0.00038000,sell
27877.80000000,0.00043000,sell
27877.8,0.00001848,sell
27877.77000000,0.00352000,sell
27877.76000000,0.00044000,sell
27877.57000000,0.00075000,sell
27877.55000000,0.00188000,sell
27877.5,0.00002346,sell
27877.44000000,0.00091000,sell
27877.43000000,0.00056000,sell
27877.41000000,0.00037000,sell
27877.4,0.0000781,sell
27877.32000000,0.00115000,sell
27877.3,0.00174893,sell
27877.24000000,0.00239000,sell
27877.17000000,0.00166000,sell
27877.13000000,0.01857000,sell
27877.1,0.00003607,sell
27877.00000000,0.00076000,sell
27877,0.00084525,sell
27876.97000000,0.00268000,sell
27876.93000000,0.00094000,sell
27876.92000000,0.00040000,sell
27876.90000000,0.08254000,sell
27876.9,0.00017377,sell
27876.85000000,0.00041000,sell
27876.83000000,0.03360000,sell
27876.81000000,0.00064000,sell
27876.77000000,0.00058000,sell
27876.73000000,0.00100000,sell
27876.72000000,0.00107000,sell
27876.71000000,0.00450000,sell
27876.69000000,0.08164000,sell
27876.6,0.00007833,sell
27876.55000000,0.00050000,sell
27876.53000000,0.00229000,sell
27876.5,0.0000677,sell
27876.4,0.01,sell
27876.34000000,0.01796000,sell
27876.1,0.00072744,sell
27876.02000000,0.00040000,sell
27876.01000000,0.04138000,sell
27876.00000000,7.33582000,sell
27876,0.01,sell
27875.94000000,0.00048000,sell
27875.93000000,0.00507000,sell
27875.84000000,0.01090000,sell
27875.82000000,0.00083000,sell
27875.69000000,0.02871000,sell
27875.67000000,0.00037000,sell
27875.64000000,0.50070000,sell
27875.58000000,0.00054000,sell
27875.49000000,0.24236000,sell
27875.47000000,0.00152000,sell
27875.43000000,0.36036000,sell
27875.39000000,0.00039000,sell
27875.3,0.00001378,sell
27875.25000000,0.00090000,sell
27875.23000000,1.44095000,sell
27875.2,0.0000102,sell
27875.16000000,0.00356000,sell
27875.11000000,0.00040000,sell
27875.1,0.00182622,sell
27875.04000000,0.00053000,sell
27875.00000000,0.04596000,sell
27875,0.02115185,sell
27874.9,0.00008364,sell
27874.86000000,0.00041000,sell
27874.81000000,0.00044000,sell
27874.8,0.00008898,sell
27874.76000000,0.00872000,sell
27874.71000000,0.00043000,sell
27874.70000000,0.00040000,sell
27874.63000000,0.00117000,sell
27874.6,0.0000579,sell
27874.5,0.00003726,sell
27874.27000000,0.00302000,sell
27874.25000000,0.00074000,sell
27874.2,1.3536994,sell
27874.15000000,0.00045000,sell
27874.10000000,0.00149000,sell
27874.1,0.00099445,sell
27874,0.14423408,sell
27873.96000000,0.00077000,sell
27873.9,0.00002373,sell
27873.89000000,0.00048000,sell
