price,size,exchange
76313.99,0.00717,Binance
76313.95,7e-05,Binance
76313.64,0.02975,Binance
76313.56,0.0001,Binance
76313.19,1.17847,Binance
76312.81,0.32758,Binance
76312.75,0.03,Binance
76312.58,0.00016,Binance
76312.54,0.00051,Binance
76312.03,0.71574,Binance
76312.0,0.0262,Binance
76311.61,0.014,Binance
76311.48,0.014,Binance
76311.38,0.014,Binance
76311.37,0.014,Binance
76310.73,7e-05,Binance
76310.64,0.00624,Binance
76310.49,7e-05,Binance
76310.18,8e-05,Binance
76310.15,0.014,Binance
76310.0,0.03149,Binance
76309.87,0.00017,Binance
76309.86,0.014,Binance
76309.84,0.11451,Binance
76309.72,0.00423,Binance
76308.98,0.00051,Binance
76308.64,0.19615,Binance
76308.63,0.0916,Binance
76308.62,1.17847,Binance
76308.47,0.1842,Binance
76308.41,0.00384,Binance
76308.32,0.00014,Binance
76308.01,0.7749,Binance
76308.0,0.22114,Binance
76307.82,0.00194,Binance
76307.18,0.00033,Binance
76306.96,0.0018,Binance
76306.91,7e-05,Binance
76306.79,0.00051,Binance
76306.68,7e-05,Binance
76306.6,0.7527,Binance
76306.0,0.0262,Binance
76305.92,0.0001,Binance
76305.55,1.17847,Binance
76305.52,0.06549,Binance
76305.4,0.01701,Binance
76305.0,0.00786,Binance
76304.92,0.25132,Binance
76304.73,0.52387,Binance
76304.52,0.26198,Binance
76304.38,1.12371,Binance
76304.19,0.03401,Binance
76304.0,0.0262,Binance
76303.92,0.52387,Binance
76303.72,0.3272,Binance
76303.59,0.00327,Binance
76303.58,0.52413,Binance
76303.16,0.006,Binance
76303.13,0.3929,Binance
76303.1,7e-05,Binance
76303.03,0.07794,Binance
76303.01,0.08008,Binance
76303.0,0.0003,Binance
76302.87,7e-05,Binance
76302.69,0.03,Binance
76302.65,0.03916,Binance
76302.07,1.17847,Binance
76302.0,0.0262,Binance
76301.83,0.11447,Binance
76301.57,0.11473,Binance
76301.08,0.55977,Binance
76301.0,0.01331,Binance
76300.99,0.00039,Binance
76300.91,0.012,Binance
76300.9,0.0586,Binance
76300.68,0.00014,Binance
76300.22,0.32742,Binance
76300.03,0.28775,Binance
76300.02,0.41944,Binance
76300.01,33.5594,Binance
76300.0,115.62634,Binance
76299.99,0.00051,Binance
76299.96,0.00013,Binance
76299.9,0.19979,Binance
76299.28,7e-05,Binance
76299.06,7e-05,Binance
76299.01,1.17847,Binance
76299.0,0.00124,Binance
76298.74,0.00327,Binance
76298.73,0.01047,Binance
76298.7,0.01483,Binance
76298.35,0.00227,Binance
76298.28,0.0001,Binance
76298.0,0.02821,Binance
76297.07,0.00034,Binance
76297.0,0.00033,Binance
76296.86,0.18794,Binance
76296.85,0.1157,Binance
76296.51,0.06049,Binance
76296.11,0.01018,Binance
76296.0,0.0262,Binance
76295.85,0.0013,Binance
76295.84,0.11484,Binance
76295.47,7e-05,Binance
76295.25,7e-05,Binance
76294.61,0.01755,Binance
76294.38,0.014,Binance
76294.36,0.00351,Binance
76294.25,9e-05,Binance
76294.0,0.0262,Binance
76293.83,0.11475,Binance
76293.6,0.00348,Binance
76293.55,0.00034,Binance
