price,size,exchange
76371.17,0.03201,Binance
76371.43,0.0916,Binance
76371.44,0.1842,Binance
76371.68,0.61489,Binance
76371.77,0.52391,Binance
76371.79,7e-05,Binance
76372.0,0.0262,Binance
76372.41,0.4184,Binance
76372.42,0.02498,Binance
76372.55,0.09998,Binance
76372.56,0.52391,Binance
76373.52,0.15996,Binance
76373.53,0.01294,Binance
76374.0,0.0262,Binance
76374.01,0.06551,Binance
76374.24,0.03928,Binance
76375.03,0.09998,Binance
76375.04,0.85245,Binance
76375.06,0.39302,Binance
76375.07,1.17847,Binance
76375.27,0.09098,Binance
76375.28,0.585,Binance
76375.4,0.00105,Binance
76375.61,7e-05,Binance
76375.71,0.06698,Binance
76375.9,0.19615,Binance
76375.98,0.00179,Binance
76375.99,0.05814,Binance
76376.0,0.0262,Binance
76376.38,0.21994,Binance
76377.08,0.10412,Binance
76377.17,0.0921,Binance
76377.27,0.04016,Binance
76377.31,0.00105,Binance
76377.32,0.001,Binance
76377.35,0.03,Binance
76377.98,0.65472,Binance
76377.99,0.09098,Binance
76378.0,0.0262,Binance
76378.12,0.0001,Binance
76378.18,0.00033,Binance
76378.24,0.19461,Binance
76378.37,0.54936,Binance
76378.45,0.03811,Binance
76378.53,0.05295,Binance
76378.85,0.00077,Binance
76379.43,7e-05,Binance
76379.99,0.3243,Binance
76380.0,0.23107,Binance
76380.5,0.0008,Binance
76380.55,1.17847,Binance
76380.97,0.19996,Binance
76380.98,0.00654,Binance
76381.02,0.0916,Binance
76381.12,0.0205,Binance
76381.17,0.03,Binance
76381.83,0.93564,Binance
76382.0,0.0262,Binance
76382.88,0.09098,Binance
76382.89,0.0921,Binance
76383.25,7e-05,Binance
76383.49,0.12241,Binance
76383.61,0.09098,Binance
76383.62,1.17847,Binance
76383.63,0.585,Binance
76383.86,0.32758,Binance
76384.0,0.0262,Binance
76384.38,8e-05,Binance
76384.7,0.00032,Binance
76384.72,0.01314,Binance
76384.93,0.27493,Binance
76384.99,0.00148,Binance
76385.25,0.19615,Binance
76385.6,0.03143,Binance
76385.77,0.0001,Binance
76385.96,0.94707,Binance
76385.98,0.11585,Binance
76386.0,0.0262,Binance
76386.16,0.04584,Binance
76386.17,0.09098,Binance
76386.18,0.001,Binance
76386.81,0.46479,Binance
76386.91,0.09097,Binance
76387.07,7e-05,Binance
76387.19,0.05898,Binance
76387.99,0.00228,Binance
76388.0,0.02973,Binance
76388.04,0.1851,Binance
76388.35,1.27845,Binance
76388.38,0.32758,Binance
76388.57,0.39302,Binance
76388.68,0.03339,Binance
76388.8,0.26185,Binance
76389.13,0.16384,Binance
76389.14,0.00352,Binance
76389.21,0.61926,Binance
76389.22,0.09097,Binance
76389.23,0.0916,Binance
76389.49,0.04584,Binance
76389.5,0.00107,Binance
76389.72,0.36659,Binance
76390.0,0.0262,Binance
76390.1,0.00271,Binance
76390.72,0.26169,Binance
76390.89,7e-05,Binance
76391.18,0.1077,Binance
76391.51,0.014,Binance
76391.54,0.014,Binance
76391.59,0.028,Binance
76391.66,0.40569,Binance
76391.71,0.014,Binance
76391.72,0.014,Binance
76391.85,0.014,Binance
76392.0,0.0262,Binance
76392.34,0.0357,Binance
76392.35,0.10097,Binance
76392.36,0.01314,Binance
76392.45,0.00345,Binance
76392.54,0.00352,Binance
76392.94,0.06286,Binance
76392.95,0.02642,Binance
76392.96,1.17847,Binance
76392.99,0.19615,Binance
76393.0,2.07513,Binance
76393.01,0.09819,Binance
76393.21,0.11561,Binance
76393.38,0.23246,Binance
76393.42,0.0001,Binance
76393.45,0.08079,Binance
76393.74,0.19895,Binance
76393.75,0.002,Binance
76393.77,0.09998,Binance
76393.78,0.11481,Binance
76393.91,0.03536,Binance
76393.93,0.0001,Binance
76393.99,0.20196,Binance
76394.0,0.0262,Binance
76394.37,0.11484,Binance
76394.41,0.09998,Binance
76394.42,0.11484,Binance
76394.71,7e-05,Binance
76394.77,0.06286,Binance
76394.78,0.08939,Binance
76395.0,0.00038,Binance
76395.14,0.00246,Binance
76395.32,0.16244,Binance
76395.37,0.00032,Binance
76395.84,8e-05,Binance
76396.0,0.0262,Binance
76396.22,0.00288,Binance
76396.23,7e-05,Binance
76396.26,0.00654,Binance
76396.43,0.26185,Binance
76396.54,0.03789,Binance
76396.55,0.03798,Binance
76396.56,0.05548,Binance
76397.48,0.0916,Binance
76397.97,0.001,Binance
76398.0,0.0262,Binance
76398.44,0.0477,Binance
76398.52,7e-05,Binance
76398.57,0.04543,Binance
76398.79,0.32912,Binance
76399.91,1.27476,Binance
76400.0,0.63703,Binance
76400.21,0.0354,Binance
76400.39,0.00033,Binance
76400.97,0.03152,Binance
76400.98,0.32758,Binance
76401.07,0.0001,Binance
76402.0,0.0262,Binance
76402.34,7e-05,Binance
76402.87,0.15712,Binance
76402.97,0.39302,Binance
76403.01,1.17847,Binance
76403.04,0.00488,Binance
76403.97,9.695,Binance
76403.98,0.00012,Binance
76403.99,0.06679,Binance
76404.0,0.0262,Binance
76404.53,7e-05,Binance
76405.46,0.03143,Binance
76405.47,0.00077,Binance
76405.65,0.0057,Binance
76405.68,0.00262,Binance
76405.74,7e-05,Binance
76405.98,0.19615,Binance
76406.0,0.0262,Binance
76406.02,0.23181,Binance
76406.16,7e-05,Binance
76406.78,0.32742,Binance
76406.79,0.0001,Binance
76406.96,0.0016,Binance
76406.97,0.03581,Binance
76407.08,0.52413,Binance
76407.59,1.17847,Binance
76407.64,0.01314,Binance
76407.94,0.0916,Binance
76407.98,0.585,Binance
76408.0,0.0262,Binance
76408.38,0.00014,Binance
76408.39,0.1245,Binance
76408.72,0.0001,Binance
76409.12,0.03303,Binance
76409.13,0.03189,Binance
76409.55,7e-05,Binance
76409.6,0.03143,Binance
76409.61,0.05591,Binance
76409.91,0.17952,Binance
76409.99,0.0315,Binance
76410.0,0.09089,Binance
76410.39,0.65484,Binance
76410.64,0.03143,Binance
76410.65,1.17847,Binance
76411.16,0.0001,Binance
76411.3,0.09429,Binance
76411.31,0.00156,Binance
76411.69,0.05598,Binance
76411.7,0.00721,Binance
76412.0,0.0262,Binance
76412.87,0.02977,Binance
76413.36,0.11304,Binance
76413.37,0.08097,Binance
76413.59,0.32758,Binance
76413.81,7e-05,Binance
76414.0,0.0262,Binance
76414.02,0.014,Binance
76414.04,0.014,Binance
76414.06,0.014,Binance
76414.1,0.028,Binance
76414.27,0.014,Binance
76414.28,0.014,Binance
76414.42,0.014,Binance
76414.44,0.39302,Binance
76414.46,0.52731,Binance
76415.21,0.00303,Binance
76415.22,0.05764,Binance
76415.28,0.01314,Binance
76415.57,0.13939,Binance
76415.62,0.585,Binance
76416.0,0.0262,Binance
76416.37,0.0001,Binance
76416.81,0.0018,Binance
76416.96,0.03091,Binance
76417.11,0.00098,Binance
76417.54,0.00027,Binance
76417.63,7e-05,Binance
76417.8,0.22594,Binance
76417.81,0.0916,Binance
76418.0,0.0262,Binance
76418.26,1.17847,Binance
76419.73,0.001,Binance
76419.92,0.01244,Binance
76419.99,0.05598,Binance
76420.0,0.13088,Binance
76420.97,0.17995,Binance
76420.98,7e-05,Binance
76421.24,0.05598,Binance
76421.26,0.19615,Binance
76421.45,7e-05,Binance
76421.64,0.42491,Binance
76422.0,0.0262,Binance
76422.01,0.00028,Binance
76422.51,0.00017,Binance
76422.62,0.23199,Binance
76422.92,0.013,Binance
76423.12,0.40447,Binance
76423.25,1.17847,Binance
76423.26,0.585,Binance
76423.52,0.11297,Binance
76423.53,1.65657,Binance
76424.0,0.0262,Binance
76424.02,0.0001,Binance
76424.03,0.06542,Binance
76424.63,0.23593,Binance
76425.0,0.00038,Binance
76425.27,7e-05,Binance
76425.46,8e-05,Binance
76425.77,0.11297,Binance
76425.8,0.0584,Binance
76425.81,0.0342,Binance
76426.0,0.0262,Binance
76426.19,0.00019,Binance
76426.2,0.09079,Binance
76426.38,0.06098,Binance
76426.39,0.0014,Binance
76427.3,0.15858,Binance
76427.38,0.10218,Binance
76427.53,0.00013,Binance
76427.54,0.00195,Binance
76427.91,0.34347,Binance
76427.94,0.00274,Binance
76428.0,0.0262,Binance
76428.6,7e-05,Binance
76428.77,0.16895,Binance
76428.89,0.50596,Binance
76428.9,0.00458,Binance
76429.09,7e-05,Binance
76429.2,9e-05,Binance
76429.99,0.06698,Binance
76430.0,0.0262,Binance
76430.49,0.06098,Binance
76430.5,1.4874,Binance
76430.56,0.01298,Binance
76430.85,0.02642,Binance
76430.88,1.17847,Binance
76430.9,0.585,Binance
76430.99,0.00015,Binance
76431.67,0.0001,Binance
76431.88,0.11297,Binance
76431.99,0.16895,Binance
