Price,Size,Side
27784.5,0.00043,sell
27784.5,0.03102,sell
27784.4,0.00042,sell
27784.3,1,sell
27784.3,0.00592,sell
27784.3,0.00285,sell
27784.2,0.00247,sell
27784.2,0.01,sell
27784.2,0.01512,sell
27784.2,0.00172,sell
27784.1,0.00064,sell
27784.1,2.711e-05,sell
27784.1,0.00169,sell
27784.1,0.0058,sell
27784,0.00013757,sell
27783.9,0.00010917,sell
27783.9,0.06533,sell
27783.8,0.03182,sell
27783.8,0.0100874,sell
27783.8,0.00039,sell
27783.7,0.0004,sell
27783.6,0.00326,sell
27783.5,0.00188,sell
27783.5,0.00103131,sell
27783.4,0.00056489,sell
27783.3,0.00197,sell
27783.3,0.00018048,sell
27783.3,0.01015,sell
27783.2,0.00039,sell
27783.1,0.00041,sell
27783.1,0.0005,sell
27783.1,0.00055,sell
27783,0.00041,sell
27783,1.905e-05,sell
27783,0.00213,sell
27783,0.00175,sell
27783,0.0005,sell
27783,2.16469,sell
27782.9,0.00079,sell
27782.8,0.00227,sell
27782.8,0.00047,sell
27782.7,0.00037,sell
27782.7,0.00053,sell
27782.7,0.00036423,sell
27782.7,0.00045,sell
27782.7,0.00089,sell
27782.6,0.00412,sell
27782.6,0.01051,sell
27782.5,0.00239,sell
27782.5,0.001,sell
27782.5,0.24,sell
27782.4,0.0200633,sell
27782.2,0.00127,sell
27782.2,0.00181,sell
27782.2,0.00086,sell
27782.1,0.00071,sell
27782,0.0026,sell
27782,0.00091,sell
27782,1.001e-05,sell
27782,0.00837,sell
27781.9,0.00119829,sell
27781.8,0.010824,sell
27781.8,0.00065,sell
27781.8,0.00093,sell
27781.7,0.00126,sell
27781.7,1.153e-05,sell
27781.6,0.00048,sell
27781.6,4.56e-05,sell
27781.6,0.00043,sell
27781.5,0.00038,sell
27781.5,0.00045,sell
27781.4,0.00038,sell
27781.3,0.00192,sell
27781.3,7.582e-05,sell
27781.2,0.00083673,sell
27781.2,0.00055,sell
27781.2,0.0007,sell
27781.1,0.04127,sell
27781.1,0.00776568,sell
27781.1,0.07199,sell
27781,0.00064,sell
27781,1.602e-05,sell
27781,0.00088,sell
27780.8,0.00027802,sell
27780.7,0.00038,sell
27780.6,0.00116,sell
27780.6,3.385e-05,sell
27780.6,0.03243,sell
27780.5,0.02522,sell
27780.5,0.00010222,sell
27780.5,0.00084,sell
27780.5,0.00232,sell
27780.4,0.00042,sell
27780.4,0.00028473,sell
27780.4,0.00152,sell
27780.4,0.02052,sell
27780.3,0.02687,sell
27780.3,7.044e-05,sell
27780.2,0.00255,sell
27780.2,0.00087,sell
27780.2,0.00039,sell
27780,0.00091,sell
27780,0.00189,sell
27780,0.00089,sell
27780,0.42413,sell
27780,0.00303106,sell
27779.9,0.00036351,sell
27779.8,0.00037,sell
27779.7,0.00293,sell
27779.7,0.0010066,sell
27779.6,0.08337,sell
27779.6,0.00166,sell
27779.6,0.00023626,sell
27779.6,0.00195,sell
27779.5,0.3,sell
27779.5,2.886e-05,sell
27779.5,0.01695,sell
27779.4,0.00037,sell
27779.2,0.00037,sell
27779.1,1.183e-05,sell
27779,0.00038,sell
27778.9,3.504e-05,sell
27778.9,0.00039,sell
27778.8,0.00101,sell
27778.8,8.972e-05,sell
27778.8,0.0004,sell
27778.6,0.0004,sell
27778.5,0.08436,sell
27778.5,6.222e-05,sell
27778.4,0.00269,sell
27778.4,9.512e-05,sell
27778.3,0.00221,sell
27778.3,2.433e-05,sell
27778.2,0.03974,sell
27778.2,0.00038456,sell
27778.1,0.08377,sell
27778,0.0005,sell
27778,1.144e-05,sell
27777.8,0.00048452,sell
27777.8,0.00133,sell
27777.8,0.00198,sell
27777.7,0.00641979,sell
27777.7,0.07199,sell
27777.4,0.00141699,sell
27777.4,0.00115,sell
27777.3,0.00042,sell
27777.2,0.00082,sell
27777.2,0.00041,sell
27777.2,1.001e-05,sell
27777.2,0.0027,sell
27777.1,0.015006,sell
27777,0.00039,sell
27777,0.00125074,sell
27777,0.02828,sell
27777,0.00239,sell
27777,0.00126,sell
27776.9,0.0004,sell
27776.9,0.00681291,sell
27776.9,0.0007,sell
27776.8,0.00057,sell
27776.8,0.0009,sell
27776.8,2.377e-05,sell
27776.8,0.01803,sell
27776.6,0.0008,sell
27776.6,7.607e-05,sell
27776.6,0.00046,sell
27776.5,0.00050219,sell
27776.5,0.00039,sell
27776.4,0.00161301,sell
27776.4,0.03615,sell
27776.3,0.00106,sell
27776.3,1.01e-05,sell
27776.2,0.00055,sell
27776.1,0.01297,sell
27776,0.190501,sell
27776,0.00079,sell
27776,0.00362,sell
27775.9,0.00362,sell
27775.8,0.00070664,sell
27775.8,0.00069,sell
27775.7,0.01245,sell
27775.7,4.377e-05,sell
27775.6,0.00802,sell
27775.5,1.82536,sell
27775.5,0.00718,sell
27775.4,0.00039,sell
27775.4,0.00071,sell
27775.4,0.00074769,sell
27775.4,0.00047,sell
27775.3,1.5,sell
27775.3,0.90002,sell
27775.3,0.00013969,sell
27775.2,0.00039,sell
27775.1,6.99e-05,sell
27775,0.00071748,sell
27775,0.02196,sell
27774.9,0.18834,sell
27774.9,6.837e-05,sell
27774.9,0.00578,sell
27774.9,0.5,sell
27774.8,0.0009,sell
27774.8,0.00125,sell
27774.7,0.00043,sell
27774.6,0.00056,sell
27774.6,0.0005,sell
27774.6,0.948,sell
27774.5,0.00022101,sell
27774.4,0.00103,sell
27774.3,0.00115,sell
27774.3,5.724e-05,sell
27774.2,2.721e-05,sell
27774.2,0.00089,sell
27774.1,0.0031525,sell
27774.1,0.00055,sell
27774.1,0.00052,sell
27774,0.0018,sell
27773.9,0.00064,sell
27773.9,0.00117,sell
27773.8,0.00051,sell
27773.8,7.579e-05,sell
27773.8,0.00044,sell
27773.7,0.00037,sell
27773.7,0.00358,sell
27773.7,3.562e-05,sell
27773.6,0.0004,sell
27773.6,0.00055,sell
27773.6,0.00213091,sell
27773.5,0.0045,sell
27773.5,1.326e-05,sell
27773.4,0.0005,sell
27773.3,0.00138,sell
27773.3,0.00432642,sell
27773.3,0.00097,sell
27773.2,3,sell
27773.2,0.00147,sell
27773.2,0.0007,sell
27773.1,0.00133,sell
27773.1,0.00039,sell
27773,0.00042,sell
27773,2.461e-05,sell
27772.9,0.00042,sell
27772.9,0.07751,sell
27772.9,0.00065,sell
27772.9,0.00308271,sell
27772.9,0.24236,sell
27772.8,1.80045,sell
27772.7,0.0004,sell
27772.7,0.00228405,sell
27772.7,0.00041,sell
27772.7,0.00054,sell
27772.6,0.01839,sell
27772.6,8.015e-05,sell
27772.6,0.00048,sell
27772.6,0.00422,sell
27772.5,0.00013844,sell
27772.5,0.00103,sell
27772.5,0.00112,sell
27772.4,0.00043,sell
27772.4,0.00394927,sell
27772.4,0.00064,sell
27772.3,0.0002783,sell
27772.2,0.00378,sell
27772.2,0.0010815,sell
27772.2,0.00198,sell
27772.1,0.03692,sell
27772.1,0.00211,sell
27772,0.00049,sell
27772,0.0108982,sell
27771.9,0.00038,sell
27771.9,0.00724396,sell
27771.8,0.00114887,sell
27771.8,0.00052,sell
27771.7,0.00925,sell
27771.7,3.56e-05,sell
27771.7,0.00043,sell
27771.6,0.00057,sell
27771.6,3.225e-05,sell
27771.6,0.00083,sell
27771.6,0.00046,sell
27771.5,0.00125,sell
27771.4,0.00239,sell
27771.4,0.00125,sell
27771.4,0.011204,sell
27771.4,0.0846,sell
27771.2,0.01046,sell
27771.2,0.0006,sell
27771.2,0.00051585,sell
27771.2,0.00038,sell
27771.1,0.23181,sell
27771.1,0.13909,sell
27771,0.00255,sell
27771,0.00087648,sell
27771,0.0009,sell
27770.9,0.00037,sell
27770.8,0.0004,sell
27770.7,7.854e-05,sell
27770.6,0.00152,sell
27770.5,0.00152,sell
27770.4,0.00038,sell
27770.4,0.00192,sell
27770.4,4.763e-05,sell
27770.4,0.00053,sell
27770.3,1.898e-05,sell
27770.2,0.00037,sell
27770.2,0.0013,sell
27770.2,0.00405847,sell
27770.1,0.00137,sell
27770.1,0.135689,sell
27770.1,0.00049,sell
27770,0.00062,sell
27770,0.08579,sell
27770,3.363e-05,sell
27770,0.05147,sell
27769.8,0.00479,sell
27769.7,0.0137,sell
27769.6,0.00042,sell
27769.5,0.00463,sell
27769.5,0.00013273,sell
27769.5,0.00059,sell
27769.5,0.00203,sell
27769.5,0.00046,sell
27769.4,0.00089,sell
27769.4,5.526e-05,sell
27769.4,0.00116,sell
27769.3,0.00038,sell
27769.2,0.00175,sell
27769.2,0.00123,sell
27769.2,0.00099233,sell
27769.1,0.00049,sell
27769.1,0.00041,sell
27769.1,3.199e-05,sell
27768.9,0.00205334,sell
27768.9,0.00039,sell
27768.9,0.00158,sell
27768.8,0.00093,sell
27768.8,1.07388,sell
27768.8,0.00039,sell
27768.8,0.00215,sell
27768.7,0.00042,sell
27768.5,0.00079,sell
27768.4,4.326e-05,sell
27768.2,0.00039,sell
27768.2,0.0333651,sell
27768.1,0.00081023,sell
27768.1,0.00079,sell
27768,0.00042,sell
27768,0.03613,sell
27768,0.00051617,sell
27768,0.00041,sell
27767.9,0.00038,sell
27767.8,0.00038,sell
27767.7,0.00772,sell
27767.7,0.00074467,sell
27767.6,0.00064,sell
27767.6,0.00012151,sell
27767.5,0.00094,sell
27767.4,0.0241,sell
27767.4,0.00116,sell
27767.4,2.98e-05,sell
27767.2,0.00045,sell
27767.1,0.00527,sell
27767,6.024e-05,sell
27767,0.00553,sell
27766.9,0.00049,sell
27766.9,0.00831,sell
27766.8,0.00051,sell
27766.7,0.00086,sell
27766.7,0.00382,sell
27766.7,0.00015986,sell
27766.7,0.02721,sell
27766.7,0.00326,sell
27766.6,0.0103627,sell
27766.6,0.0054,sell
27766.5,0.00016126,sell
27766.4,0.0182,sell
27766.4,0.00018008,sell
27766.3,0.00169,sell
27766.1,0.0004,sell
27766.1,0.00030811,sell
27766.1,0.00045,sell
27766,0.00037,sell
27766,0.00135083,sell
27766,0.01515,sell
27765.9,0.197692,sell
27765.9,0.00239,sell
27765.8,1.631e-05,sell
27765.8,0.00048,sell
27765.7,0.00012642,sell
27765.7,0.00051,sell
27765.6,0.00039,sell
27765.6,0.00811,sell
27765.6,5.6e-05,sell
27765.5,0.00039,sell
27765.5,1.88e-05,sell
27765.5,0.00054,sell
27765.4,0.00626,sell
27765.4,0.00101,sell
27765.3,2.222e-05,sell
27765.1,0.00066969,sell
27765.1,0.0007,sell
27765,0.00038,sell
27765,0.00052,sell
27765,0.00038,sell
27764.9,0.00059909,sell
27764.8,0.0577596,sell
27764.7,0.00106743,sell
27764.7,0.00273,sell
27764.6,0.19745,sell
27764.5,0.00037,sell
27764.5,0.00885,sell
27764.4,0.00123,sell
27764.4,0.00042,sell
27764.4,0.00039,sell
27764.3,0.00024081,sell
27764.2,5.575e-05,sell
27764.1,0.0323,sell
27764.1,0.00409863,sell
27764,0.00039,sell
27764,0.0054,sell
27764,0.197978,sell
27764,0.00066,sell
27763.9,0.001,sell
27763.9,0.00651,sell
27763.8,0.00117,sell
27763.7,0.108,sell
27763.6,0.00085,sell
27763.6,0.00046923,sell
27763.6,0.00081,sell
27763.5,1.24e-05,sell
27763.4,5.79e-05,sell
27763.3,0.00042,sell
27763.3,0.0140772,sell
27763.2,0.00094,sell
27763.2,0.0385,sell
27763.2,0.06563,sell
27763.2,0.00098,sell
27763.1,0.00045037,sell
27763.1,0.00051,sell
27763,0.0004,sell
27762.9,0.00069,sell
27762.9,0.00064324,sell
27762.9,0.04624,sell
27762.8,0.00043,sell
27762.7,0.00039,sell
27762.7,0.19749,sell
27762.7,0.00228,sell
27762.6,0.00178,sell
27762.6,4.6193,sell
27762.5,0.00045,sell
27762.5,0.00446,sell
27762.4,0.18834,sell
27762.4,8.401e-05,sell
27762.4,0.11306,sell
27762.4,0.00066,sell
27762.4,0.00076,sell
27762.3,0.00061,sell
27762.2,0.00048,sell
27762.2,0.00440957,sell
27762.2,0.00046,sell
27762.1,0.00039,sell
27762.1,0.00045,sell
27762.1,1.345e-05,sell
27762.1,0.00046,sell
27762,0.144777,sell
27762,0.00425,sell
27762,0.00098,sell
27761.9,0.00213,sell
27761.8,0.00164,sell
27761.8,1.507e-05,sell
27761.7,0.19749,sell
27761.6,0.15471,sell
27761.6,0.00214,sell
27761.6,0.00061,sell
27761.5,0.0001587,sell
27761.5,0.00042,sell
27761.5,0.00777,sell
27761.3,0.05958,sell
27761.3,4.122e-05,sell
27761.2,0.00072,sell
27761.2,0.00070774,sell
27761.1,0.18232,sell
27761.1,3.12,sell
27761.1,1.87352,sell
27761,0.01873,sell
27761,0.00043,sell
27760.9,0.00842,sell
27760.9,0.197628,sell
27760.8,0.00039,sell
27760.8,1.056e-05,sell
27760.7,2.526e-05,sell
27760.6,0.00075,sell
27760.6,0.00491,sell
27760.6,0.00666266,sell
27760.5,0.00107,sell
27760.5,0.0014354,sell
27760.3,0.00239,sell
27760.3,0.197558,sell
27760.3,0.00112,sell
27760.3,0.19113,sell
27760.2,0.00043,sell
27760.2,0.0004,sell
27760.1,0.00464,sell
27760,0.00364,sell
27760,5.0173,sell
27760,0.1415,sell
27759.9,0.00045,sell
27759.9,1.036e-05,sell
27759.8,0.00094,sell
27759.8,0.043,sell
27759.8,0.00042,sell
27759.7,0.03612,sell
27759.7,0.00142298,sell
27759.7,0.2,sell
27759.7,0.9533,sell
27759.6,0.290397,sell
27759.6,0.08717,sell
27759.6,0.57207,sell
27759.4,0.00061,sell
27759.3,0.0005,sell
27759.3,0.02132,sell
27759.2,0.00064454,sell
27759.2,0.00062,sell
27759.1,0.00038,sell
27759,0.00066,sell
27759,0.00066,sell
27759,0.19753,sell
27759,0.0008,sell
27758.9,0.00041,sell
27758.9,5.18e-05,sell
27758.9,0.00039,sell
27758.9,0.00202,sell
27758.8,0.00036821,sell
27758.8,0.00039,sell
27758.7,0.0008,sell
27758.7,0.00061,sell
27758.6,0.00109,sell
27758.5,0.00409558,sell
27758.5,0.00349,sell
27758.4,0.0006,sell
27758.4,0.00037802,sell
27758.3,0.00379,sell
27758.3,3.889e-05,sell
27758.3,0.00041,sell
27758.2,6.755e-05,sell
27758,0.00057,sell
27758,0.00115,sell
27758,0.0005675,sell
27757.8,0.0004,sell
27757.8,0.00048,sell
27757.8,0.197585,sell
27757.8,0.00073,sell
27757.7,0.00404,sell
27757.7,0.00046,sell
27757.7,0.00018014,sell
27757.6,0.003,sell
27757.6,0.00269,sell
27757.6,0.00125,sell
27757.6,0.00078,sell
27757.5,0.00257,sell
27757.5,0.00044,sell
27757.5,0.0159436,sell
27757.5,0.0415,sell
27757.4,0.1273,sell
27757.4,0.0005,sell
27757.2,0.19753,sell
27757.2,0.00052,sell
27757.1,0.00188,sell
27757.1,0.00328849,sell
27757,0.0036,sell
27757,0.00532528,sell
27757,0.00041,sell
27756.9,0.00039,sell
27756.9,0.00332,sell
27756.9,0.00037,sell
27756.8,0.00507,sell
27756.5,0.00344,sell
27756.5,0.00159,sell
27756.5,6.695e-05,sell
27756.4,0.02146,sell
27756.4,1.08037,sell
27756.4,0.0045,sell
27756.3,0.259962,sell
27756.2,0.00045,sell
27756.2,0.00074,sell
27756.2,0.150013,sell
27756.1,0.00039,sell
27756.1,1.092e-05,sell
27756.1,0.00039,sell
27756,0.00164,sell
27756,0.00392,sell
27756,0.051889,sell
27755.9,0.19753,sell
27755.7,0.0180271,sell
27755.6,0.02981,sell
